,pm1,pm2,pm3,am,sm,st,lum,day,Month,year,hour,min
0,3.63,0.0,0.0,3.2,7813.0,25.65,15001.0,18,7,2022,15,9
1,4.19,0.0,0.0,4.8,7692.0,25.66,13863.0,18,7,2022,15,10
2,4.74,0.0,0.0,4.0,7813.0,25.67,13788.0,18,7,2022,15,11
3,5.3,0.0,0.0,4.8,7813.0,25.68,14383.0,18,7,2022,15,12
4,0.55,5.3,5.3,3.2,7813.0,25.69,14621.0,18,7,2022,16,1
5,1.11,5.3,5.3,4.0,7813.0,25.71,13782.0,18,7,2022,16,2
6,1.67,5.3,5.3,1.6,7813.0,25.72,12681.0,18,7,2022,16,3
7,2.23,5.3,5.3,6.4,7813.0,25.73,12226.0,18,7,2022,16,4
8,2.79,5.3,5.3,1.6,7813.0,25.74,10509.0,18,7,2022,16,5
9,3.35,5.3,5.3,3.2,7692.0,25.75,10041.0,18,7,2022,16,6
10,3.91,5.3,5.3,5.6,7692.0,25.76,8021.0,18,7,2022,16,7
11,4.47,5.3,5.3,4.0,7813.0,25.78,10340.0,18,7,2022,16,8
12,5.02,5.3,5.3,5.6,7692.0,25.79,9100.0,18,7,2022,16,9
13,5.58,5.3,5.3,2.4,7813.0,25.8,6426.0,18,7,2022,16,10
14,6.14,5.3,5.3,4.0,7692.0,25.8,9123.0,18,7,2022,16,11
15,6.7,5.3,5.3,1.6,7813.0,25.81,6325.0,18,7,2022,16,12
16,0.55,6.7,12.01,1.6,7813.0,25.83,4664.0,18,7,2022,17,1
17,1.11,6.7,12.01,4.8,7813.0,25.84,6575.0,18,7,2022,17,2
18,1.67,6.7,12.01,2.4,7692.0,25.85,4317.0,18,7,2022,17,3
19,2.23,6.7,12.01,3.2,7813.0,25.86,4846.0,18,7,2022,17,4
20,2.79,6.7,12.01,2.4,7692.0,25.86,6055.0,18,7,2022,17,5
21,3.35,6.7,12.01,2.4,7813.0,25.87,4671.0,18,7,2022,17,6
22,3.91,6.7,12.01,1.6,7813.0,25.88,3359.0,18,7,2022,17,7
23,4.47,6.7,12.01,5.6,7813.0,25.89,2293.0,18,7,2022,17,8
24,5.02,6.7,12.01,4.0,7692.0,25.9,2864.0,18,7,2022,17,9
25,5.58,6.7,12.01,1.6,7692.0,25.91,4079.0,18,7,2022,17,10
26,6.14,6.7,12.01,0.8,7813.0,25.92,3752.0,18,7,2022,17,11
27,6.7,6.7,12.01,2.4,7937.0,25.92,2967.0,18,7,2022,17,12
28,0.55,6.7,18.71,3.2,7692.0,25.93,2568.0,18,7,2022,18,1
29,1.11,6.7,18.71,1.6,7813.0,25.94,2869.0,18,7,2022,18,2
30,1.67,6.7,18.71,0.8,7813.0,25.95,2228.0,18,7,2022,18,3
31,2.23,6.7,18.71,1.6,7692.0,25.96,2116.0,18,7,2022,18,4
32,2.79,6.7,18.71,3.2,7692.0,25.97,1795.0,18,7,2022,18,5
33,3.35,6.7,18.71,4.0,7813.0,25.98,1460.0,18,7,2022,18,6
34,3.91,6.7,18.71,2.4,7692.0,25.98,1245.0,18,7,2022,18,7
35,4.47,6.7,18.71,3.2,7937.0,25.98,1022.0,18,7,2022,18,8
36,5.02,6.7,18.71,3.2,7813.0,25.99,806.0,18,7,2022,18,9
