,pm1,pm2,pm3,am,sm,lum,temp,humd,pres,day,Month,year,hour,min
0,0.83,0.0,0.0,0.0,7463.0,6547.0,23.02,90.57,92849.25,18,7,2022,15,8
1,1.39,0.0,0.0,0.0,7576.0,10249.0,23.47,88.37,92848.31,18,7,2022,15,9
2,1.95,0.0,0.0,0.0,7576.0,12636.0,23.64,85.26,92844.82,18,7,2022,15,10
3,2.51,0.0,0.0,0.0,7463.0,8318.0,23.62,85.93,92834.94,18,7,2022,15,11
4,0.55,2.51,2.51,0.0,7463.0,4149.0,23.82,86.06,92815.25,18,7,2022,15,12
5,1.11,2.51,2.51,0.0,7463.0,3238.0,24.27,82.98,92820.05,18,7,2022,16,1
6,1.67,2.51,2.51,0.0,7463.0,11642.0,24.51,81.52,92806.69,18,7,2022,16,2
7,2.23,2.51,2.51,0.0,7353.0,7291.0,24.53,80.96,92799.3,18,7,2022,16,3
8,2.79,2.51,2.51,0.0,7463.0,11621.0,24.46,81.03,92812.62,18,7,2022,16,4
9,3.35,2.51,2.51,0.0,7463.0,11515.0,24.28,81.64,92800.14,18,7,2022,16,5
10,3.91,2.51,2.51,0.0,7463.0,7860.0,24.09,82.12,92806.87,18,7,2022,16,6
11,4.47,2.51,2.51,0.0,7463.0,14701.0,23.88,83.13,92811.51,18,7,2022,16,7
12,5.02,2.51,2.51,0.0,7463.0,10522.0,24.14,82.44,92815.61,18,7,2022,16,8
13,5.58,2.51,2.51,0.0,7353.0,6386.0,24.06,82.05,92818.47,18,7,2022,16,9
14,6.14,2.51,2.51,0.0,7576.0,12066.0,23.82,83.0,92825.56,18,7,2022,16,10
15,6.7,2.51,2.51,0.0,7463.0,6242.0,23.9,82.83,92821.4,18,7,2022,16,11
16,0.55,6.7,9.22,0.0,7463.0,3964.0,23.76,82.78,92823.04,18,7,2022,16,12
17,1.11,6.7,9.22,0.0,7576.0,6295.0,23.45,84.56,92812.31,18,7,2022,17,1
18,1.67,6.7,9.22,0.0,7463.0,5704.0,23.13,85.67,92809.82,18,7,2022,17,2
19,2.23,6.7,9.22,0.0,7353.0,9084.0,23.01,87.55,92809.42,18,7,2022,17,3
20,2.79,6.7,9.22,0.0,7353.0,7739.0,22.94,87.97,92812.91,18,7,2022,17,4
21,3.35,6.7,9.22,0.0,7353.0,2669.0,22.95,88.78,92822.65,18,7,2022,17,5
22,3.91,6.7,9.22,0.0,7353.0,3222.0,22.81,87.88,92824.96,18,7,2022,17,6
23,4.47,6.7,9.22,0.0,7463.0,2533.0,22.76,87.83,92834.18,18,7,2022,17,7
24,5.02,6.7,9.22,0.0,7463.0,2529.0,22.67,87.95,92840.3,18,7,2022,17,8
25,5.58,6.7,9.22,0.0,7463.0,2924.0,22.55,88.32,92852.47,18,7,2022,17,9
26,6.14,6.7,9.22,0.0,7463.0,4067.0,22.57,87.82,92851.91,18,7,2022,17,10
27,6.7,6.7,9.22,0.0,7463.0,4119.0,22.54,87.83,92852.3,18,7,2022,17,11
28,0.55,6.7,15.92,0.0,7463.0,2776.0,22.54,88.23,92849.54,18,7,2022,17,12
29,1.11,6.7,15.92,0.0,7463.0,3526.0,22.53,87.66,92862.57,18,7,2022,18,1
30,1.67,6.7,15.92,0.0,7353.0,2767.0,22.44,87.95,92872.15,18,7,2022,18,2
31,2.23,6.7,15.92,0.0,7463.0,2530.0,22.39,88.05,92872.37,18,7,2022,18,3
32,2.79,6.7,15.92,0.0,7576.0,2178.0,22.23,88.47,92869.69,18,7,2022,18,4
33,3.35,6.7,15.92,0.0,7463.0,1745.0,22.11,88.77,92869.89,18,7,2022,18,5
34,3.91,6.7,15.92,0.0,7353.0,1394.0,22.0,88.81,92864.8,18,7,2022,18,6
35,4.47,6.7,15.92,0.0,7353.0,1122.0,21.87,89.58,92872.55,18,7,2022,18,7
36,5.02,6.7,15.92,0.0,7353.0,854.0,21.73,89.88,92873.69,18,7,2022,18,8
37,5.58,6.7,15.92,0.0,7353.0,670.0,21.62,90.18,92892.59,18,7,2022,18,9
38,6.14,6.7,15.92,0.0,7463.0,524.0,21.55,90.33,92898.84,18,7,2022,18,10
39,6.7,6.7,15.92,0.0,7353.0,330.0,21.45,90.76,92911.65,18,7,2022,18,11
40,0.55,6.7,22.63,0.0,7246.0,184.0,21.37,91.11,92907.4,18,7,2022,18,12
41,1.11,6.7,22.63,0.0,7353.0,104.0,21.29,91.13,92907.97,18,7,2022,19,1
42,1.67,6.7,22.63,0.0,7246.0,53.0,21.21,91.31,92926.09,18,7,2022,19,2
43,2.23,6.7,22.63,0.0,7246.0,24.0,21.15,91.61,92930.3,18,7,2022,19,3
44,2.79,6.7,22.63,0.0,7246.0,10.0,21.11,91.13,92918.2,18,7,2022,19,4
45,3.35,6.7,22.63,0.0,7246.0,6.0,21.06,91.49,92918.4,18,7,2022,19,5
46,3.91,6.7,22.63,0.0,7576.0,5.0,21.03,91.93,92923.7,18,7,2022,19,6
47,4.47,6.7,22.63,0.0,7576.0,5.0,20.98,91.95,92915.65,18,7,2022,19,7
48,5.02,6.7,22.63,0.0,7692.0,5.0,20.93,92.19,92919.31,18,7,2022,19,8
49,5.58,6.7,22.63,0.0,7692.0,4.0,20.9,92.67,92923.14,18,7,2022,19,9
50,6.14,6.7,22.63,0.0,7692.0,1.0,20.88,92.87,92933.93,18,7,2022,19,10
51,6.7,6.7,22.63,0.0,7813.0,5.0,20.87,92.79,92931.75,18,7,2022,19,11
52,0.55,6.7,29.33,0.0,7813.0,5.0,20.87,92.56,92937.97,18,7,2022,19,12
53,1.11,6.7,29.33,0.0,7813.0,5.0,20.85,92.48,92950.77,18,7,2022,20,1
54,1.67,6.7,29.33,0.0,7813.0,4.0,20.85,92.27,92957.72,18,7,2022,20,2
55,2.23,6.7,29.33,0.0,7813.0,5.0,20.81,92.72,92962.09,18,7,2022,20,3
56,2.79,6.7,29.33,0.0,7692.0,5.0,20.78,92.98,92976.19,18,7,2022,20,4
57,3.35,6.7,29.33,0.0,7813.0,5.0,20.71,93.26,92992.28,18,7,2022,20,5
58,3.91,6.7,29.33,0.0,7692.0,5.0,20.7,93.62,92990.62,18,7,2022,20,6
59,4.47,6.7,29.33,0.0,7692.0,5.0,20.69,93.75,93000.12,18,7,2022,20,7
60,5.02,6.7,29.33,0.0,7692.0,5.0,20.69,93.82,93009.64,18,7,2022,20,8
61,5.58,6.7,29.33,0.0,7813.0,1.0,20.62,94.06,93008.53,18,7,2022,20,9
62,6.14,6.7,29.33,0.0,7813.0,5.0,20.59,93.92,93009.4,18,7,2022,20,10
63,6.7,6.7,29.33,0.0,7692.0,5.0,20.62,94.04,93024.8,18,7,2022,20,11
64,0.55,6.7,36.04,0.0,7246.0,5.0,20.75,93.37,93025.4,18,7,2022,20,12
65,1.11,6.7,36.04,0.0,7353.0,5.0,20.85,93.04,93021.41,18,7,2022,21,1
66,1.67,6.7,36.04,0.0,7246.0,5.0,20.84,92.41,93017.37,18,7,2022,21,2
67,2.23,6.7,36.04,0.0,7353.0,5.0,20.84,92.79,93025.42,18,7,2022,21,3
68,2.79,6.7,36.04,0.0,7246.0,5.0,20.8,93.02,93028.53,18,7,2022,21,4
69,3.35,6.7,36.04,0.0,7353.0,5.0,20.78,93.58,93034.56,18,7,2022,21,5
70,3.91,6.7,36.04,0.0,7246.0,5.0,20.8,93.08,93043.72,18,7,2022,21,6
71,4.47,6.7,36.04,0.0,7353.0,5.0,20.76,93.04,93037.84,18,7,2022,21,7
72,5.02,6.7,36.04,0.0,7463.0,5.0,20.65,93.36,93029.39,18,7,2022,21,8
73,5.58,6.7,36.04,0.0,7246.0,5.0,20.62,93.51,93028.27,18,7,2022,21,9
74,6.14,6.7,36.04,0.0,7246.0,5.0,20.61,93.73,93036.31,18,7,2022,21,10
75,6.7,6.7,36.04,0.0,7353.0,5.0,20.54,94.08,93038.44,18,7,2022,21,11
76,0.55,6.7,42.74,0.0,7353.0,5.0,20.44,94.23,93044.42,18,7,2022,21,12
77,1.11,6.7,42.74,0.0,7246.0,5.0,20.4,94.39,93059.43,18,7,2022,22,1
78,1.67,6.7,42.74,0.0,7463.0,5.0,20.4,94.66,93061.25,18,7,2022,22,2
79,2.23,6.7,42.74,0.0,7353.0,5.0,20.39,94.83,93058.5,18,7,2022,22,3
80,2.79,6.7,42.74,0.0,7353.0,5.0,20.42,95.21,93057.22,18,7,2022,22,4
81,3.35,6.7,42.74,0.0,7353.0,5.0,20.43,95.21,93060.72,18,7,2022,22,6
82,3.91,6.7,42.74,0.0,7463.0,5.0,20.43,95.2,93061.44,18,7,2022,22,7
83,4.47,6.7,42.74,0.0,7246.0,4.0,20.46,95.31,93065.31,18,7,2022,22,8
84,5.02,6.7,42.74,0.0,7246.0,5.0,20.47,95.5,93067.32,18,7,2022,22,9
85,5.58,6.7,42.74,0.0,7246.0,5.0,20.46,95.52,93062.37,18,7,2022,22,10
86,6.14,6.7,42.74,0.0,7246.0,5.0,20.53,95.48,93071.36,18,7,2022,22,11
87,6.7,6.7,42.74,0.0,7246.0,5.0,20.54,95.24,93056.38,18,7,2022,22,12
88,0.55,6.7,49.45,0.0,7246.0,5.0,20.62,95.04,93053.15,18,7,2022,23,1
89,1.11,6.7,49.45,0.0,7353.0,5.0,20.63,94.88,93035.22,18,7,2022,23,2
90,1.67,6.7,49.45,0.0,7246.0,5.0,20.61,95.25,93039.78,18,7,2022,23,3
91,2.23,6.7,49.45,0.0,7353.0,5.0,20.57,95.18,93023.12,18,7,2022,23,4
92,2.79,6.7,49.45,0.0,7353.0,5.0,20.54,95.25,93024.72,18,7,2022,23,5
93,3.35,6.7,49.45,0.0,7353.0,5.0,20.5,95.31,93031.82,18,7,2022,23,6
94,3.91,6.7,49.45,0.0,7246.0,5.0,20.52,95.54,93044.49,18,7,2022,23,7
95,4.47,6.7,49.45,0.0,7246.0,5.0,20.59,95.61,93049.82,18,7,2022,23,8
96,5.02,6.7,49.45,0.0,7246.0,5.0,20.62,95.27,93048.2,18,7,2022,23,9
97,5.58,6.7,49.45,0.0,7246.0,5.0,20.65,95.29,93048.4,18,7,2022,23,10
98,6.14,6.7,49.45,0.0,7246.0,5.0,20.65,95.49,93042.37,18,7,2022,23,11
99,6.7,6.7,49.45,0.0,7353.0,5.0,20.65,95.53,93036.89,18,7,2022,23,12
100,0.55,6.7,56.15,0.0,7246.0,5.0,20.67,95.45,93029.39,19,7,2022,0,1
101,1.11,6.7,56.15,0.0,7246.0,5.0,20.67,95.25,93025.35,19,7,2022,0,2
102,1.67,6.7,56.15,0.0,7246.0,1.0,20.67,95.1,93025.19,19,7,2022,0,3
103,2.23,6.7,56.15,0.0,7246.0,5.0,20.65,94.88,93020.42,19,7,2022,0,4
104,2.79,6.7,56.15,0.0,7246.0,5.0,20.64,94.74,93018.94,19,7,2022,0,5
105,3.35,6.7,56.15,0.0,7246.0,5.0,20.63,94.77,93009.25,19,7,2022,0,6
106,3.91,6.7,56.15,0.0,7246.0,5.0,20.62,94.8,93001.56,19,7,2022,0,7
107,4.47,6.7,56.15,0.0,7246.0,4.0,20.62,95.15,92999.55,19,7,2022,0,8
108,5.02,6.7,56.15,0.0,7353.0,5.0,20.65,94.87,92993.71,19,7,2022,0,9
109,5.58,6.7,56.15,0.0,7353.0,3.0,20.67,94.81,92995.17,19,7,2022,0,10
110,6.14,6.7,56.15,0.0,7353.0,5.0,20.61,94.84,92987.11,19,7,2022,0,11
111,6.7,6.7,56.15,0.0,7246.0,5.0,20.63,95.0,92989.32,19,7,2022,0,12
112,0.55,6.7,62.86,0.0,7246.0,5.0,20.62,94.68,92985.82,19,7,2022,1,1
113,1.11,6.7,62.86,0.0,7246.0,5.0,20.64,94.78,92981.81,19,7,2022,1,2
114,1.67,6.7,62.86,0.0,7246.0,5.0,20.67,94.51,92969.01,19,7,2022,1,3
115,2.23,6.7,62.86,0.0,7246.0,5.0,20.7,94.52,92967.92,19,7,2022,1,4
116,2.79,6.7,62.86,0.0,7246.0,5.0,20.68,94.48,92958.24,19,7,2022,1,5
117,3.35,6.7,62.86,0.0,7246.0,5.0,20.62,94.7,92948.15,19,7,2022,1,6
118,3.91,6.7,62.86,0.0,7246.0,5.0,20.6,94.69,92943.74,19,7,2022,1,7
119,4.47,6.7,62.86,0.0,7246.0,5.0,20.57,94.72,92938.06,19,7,2022,1,8
120,5.02,6.7,62.86,0.0,7246.0,5.0,20.54,94.55,92936.92,19,7,2022,1,9
121,5.58,6.7,62.86,0.0,7246.0,5.0,20.5,94.76,92940.03,19,7,2022,1,10
122,6.14,6.7,62.86,0.0,7246.0,5.0,20.57,94.83,92929.82,19,7,2022,1,11
123,6.7,6.7,62.86,0.0,7246.0,5.0,20.55,94.52,92916.67,19,7,2022,1,12
124,0.55,6.7,69.57,0.0,7246.0,5.0,20.59,94.48,92915.39,19,7,2022,2,1
125,1.11,6.7,69.57,0.0,7246.0,5.0,20.59,94.69,92903.87,19,7,2022,2,2
126,1.67,6.7,69.57,0.0,7246.0,3.0,20.56,94.84,92891.25,19,7,2022,2,3
127,2.23,6.7,69.57,0.0,7246.0,5.0,20.54,94.83,92904.0,19,7,2022,2,4
128,2.79,6.7,69.57,0.0,7246.0,5.0,20.53,94.98,92893.03,19,7,2022,2,5
129,3.35,6.7,69.57,0.0,7246.0,5.0,20.51,94.78,92892.86,19,7,2022,2,6
130,3.91,6.7,69.57,0.0,7246.0,5.0,20.5,95.11,92889.17,19,7,2022,2,7
131,4.47,6.7,69.57,0.0,7246.0,5.0,20.5,95.26,92891.19,19,7,2022,2,8
132,5.02,6.7,69.57,0.0,7246.0,5.0,20.5,95.42,92888.64,19,7,2022,2,9
133,5.58,6.7,69.57,0.0,7246.0,5.0,20.45,95.73,92886.26,19,7,2022,2,10
134,6.14,6.7,69.57,0.0,7246.0,5.0,20.43,96.09,92889.35,19,7,2022,2,11
135,6.7,6.7,69.57,0.0,7246.0,5.0,20.38,96.04,92882.03,19,7,2022,2,12
136,0.55,6.7,76.27,0.0,7246.0,5.0,20.37,95.95,92872.32,19,7,2022,3,1
137,1.11,6.7,76.27,0.0,7353.0,5.0,20.35,96.12,92859.17,19,7,2022,3,2
138,1.67,6.7,76.27,0.0,7246.0,5.0,20.42,96.25,92865.01,19,7,2022,3,3
139,2.23,6.7,76.27,0.0,7246.0,5.0,20.4,96.1,92860.28,19,7,2022,3,4
140,2.79,6.7,76.27,0.0,7246.0,1.0,20.45,96.07,92862.11,19,7,2022,3,5
141,3.35,6.7,76.27,0.0,7246.0,1.0,20.47,95.95,92870.53,19,7,2022,3,6
142,3.91,6.7,76.27,0.0,7353.0,1.0,20.44,95.91,92861.92,19,7,2022,3,7
143,4.47,6.7,76.27,0.0,7246.0,1.0,20.43,95.87,92867.94,19,7,2022,3,8
144,5.02,6.7,76.27,0.0,7353.0,1.0,20.42,95.72,92865.95,19,7,2022,3,9
145,5.58,6.7,76.27,0.0,7246.0,1.0,20.45,95.46,92866.87,19,7,2022,3,10
146,6.14,6.7,76.27,0.0,7246.0,1.0,20.5,95.59,92863.75,19,7,2022,3,11
147,6.7,6.7,76.27,0.0,7246.0,1.0,20.47,95.56,92879.49,19,7,2022,3,12
148,0.55,6.7,82.98,0.0,7246.0,1.0,20.51,95.46,92881.89,19,7,2022,4,1
149,1.11,6.7,82.98,0.0,7246.0,1.0,20.46,95.3,92880.94,19,7,2022,4,2
