,st,day,Month,year,hour,min,temp,humd,pres,pm1,pm2,pm3,am,sm,lum
0,25.65,18,7,2022,15,9,23.47,88.37,92848.31,2.51,0.0,0.0,1.6,7694.5,12625.0
1,25.66,18,7,2022,15,10,23.64,85.26,92844.82,3.0700000000000003,0.0,0.0,2.4,7634.0,13249.5
2,25.67,18,7,2022,15,11,23.62,85.93,92834.94,3.625,0.0,0.0,2.0,7638.0,11053.0
3,25.68,18,7,2022,15,12,23.82,86.06,92815.25,2.925,1.255,1.255,2.4,7638.0,9266.0
4,25.69,18,7,2022,16,1,24.27,82.98,92820.05,0.8300000000000001,3.905,3.905,1.6,7638.0,8929.5
5,25.71,18,7,2022,16,2,24.51,81.52,92806.69,1.3900000000000001,3.905,3.905,2.0,7638.0,12712.0
6,25.72,18,7,2022,16,3,24.53,80.96,92799.3,1.95,3.905,3.905,0.8,7583.0,9986.0
7,25.73,18,7,2022,16,4,24.46,81.03,92812.62,2.51,3.905,3.905,3.2,7638.0,11923.5
8,25.74,18,7,2022,16,5,24.28,81.64,92800.14,3.0700000000000003,3.905,3.905,0.8,7638.0,11012.0
9,25.75,18,7,2022,16,6,24.09,82.12,92806.87,3.63,3.905,3.905,1.6,7577.5,8950.5
10,25.76,18,7,2022,16,7,23.88,83.13,92811.51,4.1899999999999995,3.905,3.905,2.8,7577.5,11361.0
11,25.78,18,7,2022,16,8,24.14,82.44,92815.61,4.744999999999999,3.905,3.905,2.0,7638.0,10431.0
12,25.79,18,7,2022,16,9,24.06,82.05,92818.47,5.3,3.905,3.905,2.8,7522.5,7743.0
13,25.8,18,7,2022,16,10,23.82,83.0,92825.56,5.859999999999999,3.905,3.905,1.2,7694.5,9246.0
14,25.8,18,7,2022,16,11,23.9,82.83,92821.4,6.42,3.905,3.905,2.0,7577.5,7682.5
15,25.81,18,7,2022,16,12,23.76,82.78,92823.04,3.625,6.0,7.26,0.8,7638.0,5144.5
16,25.83,18,7,2022,17,1,23.45,84.56,92812.31,0.8300000000000001,6.7,10.615,0.8,7694.5,5479.5
17,25.84,18,7,2022,17,2,23.13,85.67,92809.82,1.3900000000000001,6.7,10.615,2.4,7638.0,6139.5
18,25.85,18,7,2022,17,3,23.01,87.55,92809.42,1.95,6.7,10.615,1.2,7522.5,6700.5
19,25.86,18,7,2022,17,4,22.94,87.97,92812.91,2.51,6.7,10.615,1.6,7583.0,6292.5
20,25.86,18,7,2022,17,5,22.95,88.78,92822.65,3.0700000000000003,6.7,10.615,1.2,7522.5,4362.0
21,25.87,18,7,2022,17,6,22.81,87.88,92824.96,3.63,6.7,10.615,1.2,7583.0,3946.5
22,25.88,18,7,2022,17,7,22.76,87.83,92834.18,4.1899999999999995,6.7,10.615,0.8,7638.0,2946.0
23,25.89,18,7,2022,17,8,22.67,87.95,92840.3,4.744999999999999,6.7,10.615,2.8,7638.0,2411.0
24,25.9,18,7,2022,17,9,22.55,88.32,92852.47,5.3,6.7,10.615,2.0,7577.5,2894.0
25,25.91,18,7,2022,17,10,22.57,87.82,92851.91,5.859999999999999,6.7,10.615,0.8,7577.5,4073.0
26,25.92,18,7,2022,17,11,22.54,87.83,92852.3,6.42,6.7,10.615,0.4,7638.0,3935.5
27,25.92,18,7,2022,17,12,22.54,88.23,92849.54,3.625,6.7,13.965,1.2,7700.0,2871.5
28,25.93,18,7,2022,18,1,22.53,87.66,92862.57,0.8300000000000001,6.7,17.315,1.6,7577.5,3047.0
29,25.94,18,7,2022,18,2,22.44,87.95,92872.15,1.3900000000000001,6.7,17.315,0.8,7583.0,2818.0
30,25.95,18,7,2022,18,3,22.39,88.05,92872.37,1.95,6.7,17.315,0.4,7638.0,2379.0
31,25.96,18,7,2022,18,4,22.23,88.47,92869.69,2.51,6.7,17.315,0.8,7634.0,2147.0
32,25.97,18,7,2022,18,5,22.11,88.77,92869.89,3.0700000000000003,6.7,17.315,1.6,7577.5,1770.0
33,25.98,18,7,2022,18,6,22.0,88.81,92864.8,3.63,6.7,17.315,2.0,7583.0,1427.0
34,25.98,18,7,2022,18,7,21.87,89.58,92872.55,4.1899999999999995,6.7,17.315,1.2,7522.5,1183.5
35,25.98,18,7,2022,18,8,21.73,89.88,92873.69,4.744999999999999,6.7,17.315,1.6,7645.0,938.0
