ttime,pm1,pm2,pm3,am,sm,st,lum
2022-07-18 15:42:55,3.63,0.0,0.0,3.2,7813.0,25.65,15001.0
2022-07-18 15:47:55,4.19,0.0,0.0,4.8,7692.0,25.66,13863.0
2022-07-18 15:52:55,4.74,0.0,0.0,4.0,7813.0,25.67,13788.0
2022-07-18 15:57:55,5.3,0.0,0.0,4.8,7813.0,25.68,14383.0
2022-07-18 16:02:55,0.55,5.3,5.3,3.2,7813.0,25.69,14621.0
2022-07-18 16:07:55,1.11,5.3,5.3,4.0,7813.0,25.71,13782.0
2022-07-18 16:13:03,1.67,5.3,5.3,1.6,7813.0,25.72,12681.0
2022-07-18 16:17:55,2.23,5.3,5.3,6.4,7813.0,25.73,12226.0
2022-07-18 16:22:55,2.79,5.3,5.3,1.6,7813.0,25.74,10509.0
2022-07-18 16:27:55,3.35,5.3,5.3,3.2,7692.0,25.75,10041.0
2022-07-18 16:32:55,3.91,5.3,5.3,5.6,7692.0,25.76,8021.0
2022-07-18 16:37:55,4.47,5.3,5.3,4.0,7813.0,25.78,10340.0
2022-07-18 16:42:55,5.02,5.3,5.3,5.6,7692.0,25.79,9100.0
2022-07-18 16:47:55,5.58,5.3,5.3,2.4,7813.0,25.8,6426.0
2022-07-18 16:52:55,6.14,5.3,5.3,4.0,7692.0,25.8,9123.0
2022-07-18 16:57:55,6.7,5.3,5.3,1.6,7813.0,25.81,6325.0
2022-07-18 17:02:56,0.55,6.7,12.01,1.6,7813.0,25.83,4664.0
2022-07-18 17:07:56,1.11,6.7,12.01,4.8,7813.0,25.84,6575.0
2022-07-18 17:12:55,1.67,6.7,12.01,2.4,7692.0,25.85,4317.0
2022-07-18 17:17:55,2.23,6.7,12.01,3.2,7813.0,25.86,4846.0
2022-07-18 17:22:56,2.79,6.7,12.01,2.4,7692.0,25.86,6055.0
2022-07-18 17:27:56,3.35,6.7,12.01,2.4,7813.0,25.87,4671.0
2022-07-18 17:32:55,3.91,6.7,12.01,1.6,7813.0,25.88,3359.0
2022-07-18 17:37:56,4.47,6.7,12.01,5.6,7813.0,25.89,2293.0
2022-07-18 17:42:56,5.02,6.7,12.01,4.0,7692.0,25.9,2864.0
2022-07-18 17:47:56,5.58,6.7,12.01,1.6,7692.0,25.91,4079.0
2022-07-18 17:52:56,6.14,6.7,12.01,0.8,7813.0,25.92,3752.0
2022-07-18 17:57:56,6.7,6.7,12.01,2.4,7937.0,25.92,2967.0
2022-07-18 18:02:56,0.55,6.7,18.71,3.2,7692.0,25.93,2568.0
2022-07-18 18:07:56,1.11,6.7,18.71,1.6,7813.0,25.94,2869.0
2022-07-18 18:12:56,1.67,6.7,18.71,0.8,7813.0,25.95,2228.0
2022-07-18 18:17:56,2.23,6.7,18.71,1.6,7692.0,25.96,2116.0
2022-07-18 18:22:56,2.79,6.7,18.71,3.2,7692.0,25.97,1795.0
2022-07-18 18:27:56,3.35,6.7,18.71,4.0,7813.0,25.98,1460.0
2022-07-18 18:32:56,3.91,6.7,18.71,2.4,7692.0,25.98,1245.0
2022-07-18 18:37:56,4.47,6.7,18.71,3.2,7937.0,25.98,1022.0
2022-07-18 18:42:56,5.02,6.7,18.71,3.2,7813.0,25.99,806.0
2022-07-18 18:47:57,5.58,6.7,18.71,1.6,7813.0,26.0,561.0
2022-07-18 18:52:56,6.14,6.7,18.71,1.6,7813.0,26.0,365.0
2022-07-18 18:57:56,6.7,6.7,18.71,6.4,7937.0,26.01,209.0
2022-07-18 19:02:56,0.55,6.7,25.42,1.6,7813.0,26.02,116.0
2022-07-18 19:07:56,1.11,6.7,25.42,1.6,7813.0,26.02,58.0
