ttime,pm1,pm2,pm3,am,sm,lum,temp,humd,pres
2022-07-18 15:39:58,0.83,0.0,0.0,0.0,7463.0,6547.0,23.02,90.57,92849.25
2022-07-18 15:44:55,1.39,0.0,0.0,0.0,7576.0,10249.0,23.47,88.37,92848.31
2022-07-18 15:49:55,1.95,0.0,0.0,0.0,7576.0,12636.0,23.64,85.26,92844.82
2022-07-18 15:54:55,2.51,0.0,0.0,0.0,7463.0,8318.0,23.62,85.93,92834.94
2022-07-18 15:59:56,0.55,2.51,2.51,0.0,7463.0,4149.0,23.82,86.06,92815.25
2022-07-18 16:04:55,1.11,2.51,2.51,0.0,7463.0,3238.0,24.27,82.98,92820.05
2022-07-18 16:09:55,1.67,2.51,2.51,0.0,7463.0,11642.0,24.51,81.52,92806.69
2022-07-18 16:14:55,2.23,2.51,2.51,0.0,7353.0,7291.0,24.53,80.96,92799.3
2022-07-18 16:19:55,2.79,2.51,2.51,0.0,7463.0,11621.0,24.46,81.03,92812.62
2022-07-18 16:24:56,3.35,2.51,2.51,0.0,7463.0,11515.0,24.28,81.64,92800.14
2022-07-18 16:29:55,3.91,2.51,2.51,0.0,7463.0,7860.0,24.09,82.12,92806.87
2022-07-18 16:34:56,4.47,2.51,2.51,0.0,7463.0,14701.0,23.88,83.13,92811.51
2022-07-18 16:39:56,5.02,2.51,2.51,0.0,7463.0,10522.0,24.14,82.44,92815.61
2022-07-18 16:44:56,5.58,2.51,2.51,0.0,7353.0,6386.0,24.06,82.05,92818.47
2022-07-18 16:49:56,6.14,2.51,2.51,0.0,7576.0,12066.0,23.82,83.0,92825.56
2022-07-18 16:54:56,6.7,2.51,2.51,0.0,7463.0,6242.0,23.9,82.83,92821.4
2022-07-18 16:59:56,0.55,6.7,9.22,0.0,7463.0,3964.0,23.76,82.78,92823.04
2022-07-18 17:04:56,1.11,6.7,9.22,0.0,7576.0,6295.0,23.45,84.56,92812.31
2022-07-18 17:09:56,1.67,6.7,9.22,0.0,7463.0,5704.0,23.13,85.67,92809.82
2022-07-18 17:14:56,2.23,6.7,9.22,0.0,7353.0,9084.0,23.01,87.55,92809.42
2022-07-18 17:19:56,2.79,6.7,9.22,0.0,7353.0,7739.0,22.94,87.97,92812.91
2022-07-18 17:24:56,3.35,6.7,9.22,0.0,7353.0,2669.0,22.95,88.78,92822.65
2022-07-18 17:29:56,3.91,6.7,9.22,0.0,7353.0,3222.0,22.81,87.88,92824.96
2022-07-18 17:34:56,4.47,6.7,9.22,0.0,7463.0,2533.0,22.76,87.83,92834.18
2022-07-18 17:39:56,5.02,6.7,9.22,0.0,7463.0,2529.0,22.67,87.95,92840.3
2022-07-18 17:44:56,5.58,6.7,9.22,0.0,7463.0,2924.0,22.55,88.32,92852.47
2022-07-18 17:49:56,6.14,6.7,9.22,0.0,7463.0,4067.0,22.57,87.82,92851.91
2022-07-18 17:54:56,6.7,6.7,9.22,0.0,7463.0,4119.0,22.54,87.83,92852.3
2022-07-18 17:59:56,0.55,6.7,15.92,0.0,7463.0,2776.0,22.54,88.23,92849.54
2022-07-18 18:04:57,1.11,6.7,15.92,0.0,7463.0,3526.0,22.53,87.66,92862.57
2022-07-18 18:09:56,1.67,6.7,15.92,0.0,7353.0,2767.0,22.44,87.95,92872.15
2022-07-18 18:14:56,2.23,6.7,15.92,0.0,7463.0,2530.0,22.39,88.05,92872.37
2022-07-18 18:19:58,2.79,6.7,15.92,0.0,7576.0,2178.0,22.23,88.47,92869.69
2022-07-18 18:24:57,3.35,6.7,15.92,0.0,7463.0,1745.0,22.11,88.77,92869.89
2022-07-18 18:29:57,3.91,6.7,15.92,0.0,7353.0,1394.0,22.0,88.81,92864.8
2022-07-18 18:34:57,4.47,6.7,15.92,0.0,7353.0,1122.0,21.87,89.58,92872.55
2022-07-18 18:39:58,5.02,6.7,15.92,0.0,7353.0,854.0,21.73,89.88,92873.69
2022-07-18 18:44:57,5.58,6.7,15.92,0.0,7353.0,670.0,21.62,90.18,92892.59
2022-07-18 18:49:57,6.14,6.7,15.92,0.0,7463.0,524.0,21.55,90.33,92898.84
2022-07-18 18:54:57,6.7,6.7,15.92,0.0,7353.0,330.0,21.45,90.76,92911.65
2022-07-18 18:59:58,0.55,6.7,22.63,0.0,7246.0,184.0,21.37,91.11,92907.4
2022-07-18 19:04:58,1.11,6.7,22.63,0.0,7353.0,104.0,21.29,91.13,92907.97
2022-07-18 19:09:57,1.67,6.7,22.63,0.0,7246.0,53.0,21.21,91.31,92926.09
2022-07-18 19:14:57,2.23,6.7,22.63,0.0,7246.0,24.0,21.15,91.61,92930.3
2022-07-18 19:19:57,2.79,6.7,22.63,0.0,7246.0,10.0,21.11,91.13,92918.2
2022-07-18 19:24:58,3.35,6.7,22.63,0.0,7246.0,6.0,21.06,91.49,92918.4
2022-07-18 19:29:57,3.91,6.7,22.63,0.0,7576.0,5.0,21.03,91.93,92923.7
2022-07-18 19:34:57,4.47,6.7,22.63,0.0,7576.0,5.0,20.98,91.95,92915.65
2022-07-18 19:39:58,5.02,6.7,22.63,0.0,7692.0,5.0,20.93,92.19,92919.31
2022-07-18 19:44:58,5.58,6.7,22.63,0.0,7692.0,4.0,20.9,92.67,92923.14
2022-07-18 19:49:57,6.14,6.7,22.63,0.0,7692.0,1.0,20.88,92.87,92933.93
2022-07-18 19:54:58,6.7,6.7,22.63,0.0,7813.0,5.0,20.87,92.79,92931.75
2022-07-18 19:59:59,0.55,6.7,29.33,0.0,7813.0,5.0,20.87,92.56,92937.97
2022-07-18 20:04:58,1.11,6.7,29.33,0.0,7813.0,5.0,20.85,92.48,92950.77
2022-07-18 20:09:58,1.67,6.7,29.33,0.0,7813.0,4.0,20.85,92.27,92957.72
2022-07-18 20:14:58,2.23,6.7,29.33,0.0,7813.0,5.0,20.81,92.72,92962.09
2022-07-18 20:19:58,2.79,6.7,29.33,0.0,7692.0,5.0,20.78,92.98,92976.19
2022-07-18 20:24:58,3.35,6.7,29.33,0.0,7813.0,5.0,20.71,93.26,92992.28
2022-07-18 20:29:58,3.91,6.7,29.33,0.0,7692.0,5.0,20.7,93.62,92990.62
2022-07-18 20:34:58,4.47,6.7,29.33,0.0,7692.0,5.0,20.69,93.75,93000.12
2022-07-18 20:39:58,5.02,6.7,29.33,0.0,7692.0,5.0,20.69,93.82,93009.64
2022-07-18 20:44:58,5.58,6.7,29.33,0.0,7813.0,1.0,20.62,94.06,93008.53
2022-07-18 20:49:58,6.14,6.7,29.33,0.0,7813.0,5.0,20.59,93.92,93009.4
2022-07-18 20:54:58,6.7,6.7,29.33,0.0,7692.0,5.0,20.62,94.04,93024.8
2022-07-18 20:59:58,0.55,6.7,36.04,0.0,7246.0,5.0,20.75,93.37,93025.4
2022-07-18 21:04:58,1.11,6.7,36.04,0.0,7353.0,5.0,20.85,93.04,93021.41
2022-07-18 21:09:58,1.67,6.7,36.04,0.0,7246.0,5.0,20.84,92.41,93017.37
2022-07-18 21:14:58,2.23,6.7,36.04,0.0,7353.0,5.0,20.84,92.79,93025.42
2022-07-18 21:19:58,2.79,6.7,36.04,0.0,7246.0,5.0,20.8,93.02,93028.53
2022-07-18 21:24:58,3.35,6.7,36.04,0.0,7353.0,5.0,20.78,93.58,93034.56
2022-07-18 21:29:58,3.91,6.7,36.04,0.0,7246.0,5.0,20.8,93.08,93043.72
2022-07-18 21:34:58,4.47,6.7,36.04,0.0,7353.0,5.0,20.76,93.04,93037.84
2022-07-18 21:39:58,5.02,6.7,36.04,0.0,7463.0,5.0,20.65,93.36,93029.39
2022-07-18 21:44:58,5.58,6.7,36.04,0.0,7246.0,5.0,20.62,93.51,93028.27
2022-07-18 21:49:58,6.14,6.7,36.04,0.0,7246.0,5.0,20.61,93.73,93036.31
2022-07-18 21:54:59,6.7,6.7,36.04,0.0,7353.0,5.0,20.54,94.08,93038.44
2022-07-18 21:59:59,0.55,6.7,42.74,0.0,7353.0,5.0,20.44,94.23,93044.42
2022-07-18 22:04:59,1.11,6.7,42.74,0.0,7246.0,5.0,20.4,94.39,93059.43
2022-07-18 22:09:59,1.67,6.7,42.74,0.0,7463.0,5.0,20.4,94.66,93061.25
2022-07-18 22:14:59,2.23,6.7,42.74,0.0,7353.0,5.0,20.39,94.83,93058.5
2022-07-18 22:19:59,2.79,6.7,42.74,0.0,7353.0,5.0,20.42,95.21,93057.22
2022-07-18 22:25:16,3.35,6.7,42.74,0.0,7353.0,5.0,20.43,95.21,93060.72
2022-07-18 22:30:59,3.91,6.7,42.74,0.0,7463.0,5.0,20.43,95.2,93061.44
2022-07-18 22:35:59,4.47,6.7,42.74,0.0,7246.0,4.0,20.46,95.31,93065.31
